command,x,y,yaw,velocity_x,velocity_y,velocity_z,n_epoch,num_timesteps,eval_mode,done,ep_count
4,62.12980270385742,1.9633435010910034,-0.01889037899672985,-0.01746203936636448,-0.0004080367798451334,-4.440710544586182,0,0,False,False,1
4,62.134769439697266,1.963394284248352,-0.03073120303452015,0.06671316921710968,-0.012434913776814938,0.26842907071113586,0,0,False,False,1
4,62.16559600830078,1.963241696357727,0.009858394972980022,0.4877062439918518,0.009124064818024635,0.28186097741127014,0,0,False,False,1
4,62.251953125,1.9643319845199585,0.043070048093795776,1.1420084238052368,0.020406926050782204,0.17430758476257324,0,0,False,False,1
4,62.394920349121094,1.9621541500091553,-0.0578002855181694,1.6937071084976196,-0.049560241401195526,0.08003418147563934,0,0,False,False,1
4,62.59012222290039,1.9591789245605469,-0.1667175143957138,2.1217238903045654,-0.03675246983766556,0.025991134345531464,0,0,False,False,1
4,62.814510345458984,1.9593740701675415,-0.123016357421875,2.3230650424957275,0.021199950948357582,0.0028329372871667147,0,0,False,False,1
4,63.05077362060547,1.9590110778808594,-0.1230773851275444,2.3914403915405273,-0.01254663709551096,-0.0038276098202914,0,0,False,False,1
4,63.292049407958984,1.9614497423171997,0.006287921220064163,2.4300148487091064,0.05495157465338707,-0.0039200494065880775,0,0,False,False,1
4,63.53755187988281,1.9637531042099,0.09133254736661911,2.4821078777313232,0.02204049751162529,-0.002402725163847208,0,0,False,False,1
4,63.78842544555664,1.9631190299987793,0.03828826919198036,2.5238983631134033,-0.023699428886175156,-0.00109379761852324,0,0,False,False,1
4,64.04092407226562,1.9615522623062134,-0.0325317345559597,2.5192928314208984,-0.021590067073702812,-0.0003501319733913988,0,0,False,False,1
4,64.29197692871094,1.9637351036071777,0.07542885839939117,2.509310007095337,0.052341122180223465,-3.3321379305562004e-05,0,0,False,False,1
4,64.5443115234375,1.9665446281433105,0.17188303172588348,2.5415594577789307,0.03134817257523537,5.429267912404612e-05,0,0,False,False,1
4,64.80021667480469,1.9656938314437866,0.09204289317131042,2.5659728050231934,-0.03370501846075058,5.693435377907008e-05,0,0,False,False,1
4,65.05596160888672,1.964003562927246,0.008090637624263763,2.5434329509735107,-0.021114956587553024,3.244400068069808e-05,0,0,False,False,1
4,65.30858612060547,1.964314579963684,0.027291521430015564,2.5178627967834473,0.014880790375173092,1.5583038475597277e-05,0,0,False,False,1
4,65.55978393554688,1.964462399482727,0.0257982537150383,2.5065512657165527,-0.00376336183398962,4.787445050169481e-06,0,0,False,False,1
4,65.80899810791016,1.962107539176941,-0.0819091722369194,2.47619891166687,-0.044519584625959396,1.945495569088962e-06,0,0,False,False,1
4,66.05431365966797,1.9603617191314697,-0.1324462890625,2.434126138687134,-0.013447311706840992,-2.0599363779183477e-06,0,0,False,False,1
4,66.29576873779297,1.9563345909118652,-0.2806701362133026,2.4023218154907227,-0.07058381289243698,-4.386901650832442e-07,0,0,False,False,1
4,66.53392028808594,1.9552505016326904,-0.2618102729320526,2.3575282096862793,0.014803330413997173,-1.3828276905769599e-06,0,0,False,False,1
4,66.76699829101562,1.9562991857528687,-0.173828125,2.3179385662078857,0.020127777010202408,-9.91821252682712e-07,0,0,False,False,1
4,66.99754333496094,1.9576383829116821,-0.0937194675207138,2.29110050201416,0.021030837669968605,1.5449523971255985e-06,0,0,False,False,1
4,67.22499084472656,1.9565680027008057,-0.1324462890625,2.2650651931762695,-0.027449853718280792,-6.103515488575795e-07,0,0,False,False,1
4,67.45042419433594,1.9519587755203247,-0.3065185248851776,2.2439217567443848,-0.07472113519906998,1.716613724056515e-06,0,0,False,False,1
4,67.67314147949219,1.9428008794784546,-0.637237548828125,2.2131576538085938,-0.14020812511444092,-3.337860050578456e-07,0,0,False,False,1
4,67.89409637451172,1.9369605779647827,-0.7504576444625854,2.211013078689575,-0.038066111505031586,2.2983549570199102e-06,0,0,False,False,1
4,68.11589813232422,1.936905026435852,-0.6183776259422302,2.224323034286499,0.03151622787117958,-9.632110504753655e-07,0,0,False,False,1
4,68.33841705322266,1.9336940050125122,-0.6686095595359802,2.222276449203491,-0.0639398843050003,-9.91821252682712e-07,0,0,False,False,1
4,68.55901336669922,1.930497407913208,-0.68914794921875,2.185386896133423,-0.02235613949596882,-8.48770127959142e-07,0,0,False,False,1
4,68.77397918701172,1.9275482892990112,-0.7052916288375854,2.118474006652832,-0.033812105655670166,-8.583068620282575e-07,0,0,False,False,1
4,68.98298645019531,1.9252958297729492,-0.689666748046875,2.077760696411133,-0.01621474139392376,-1.7642973944020923e-06,0,0,False,False,1
4,69.1894302368164,1.9226446151733398,-0.6996154189109802,2.0458645820617676,-0.031187785789370537,1.1444091541079615e-07,0,0,False,False,1
4,69.39009857177734,1.91614830493927,-0.8758544921875,1.9704679250717163,-0.10140044242143631,5.149840944795869e-07,0,0,False,False,1
4,69.583984375,1.9077080488204956,-1.095184326171875,1.928489327430725,-0.10562591999769211,1.8692015828492003e-06,0,0,False,False,1
4,69.7768783569336,1.904459834098816,-1.05511474609375,1.9199377298355103,0.003122099908068776,2.57492069977161e-06,0,0,False,False,1
4,69.96714782714844,1.9028980731964111,-0.9783325791358948,1.8908727169036865,-0.012625482864677906,-5.81741346650233e-07,0,0,False,False,1
4,70.15343475341797,1.9002431631088257,-0.9628601670265198,1.8286738395690918,-0.02897370420396328,1.9741057712963084e-06,0,0,False,False,1
4,70.33124542236328,1.8979991674423218,-0.9325255751609802,1.7402132749557495,-0.01599331758916378,-5.149840944795869e-07,0,0,False,False,1
4,70.50129699707031,1.8983190059661865,-0.80242919921875,1.6726508140563965,0.02669779770076275,-7.05719003235572e-07,0,0,False,False,1
4,70.66753387451172,1.8968160152435303,-0.77960205078125,1.6757543087005615,-0.02722698636353016,-1.0013579867518274e-06,0,0,False,False,1
4,70.8392105102539,1.8925622701644897,-0.86328125,1.7467364072799683,-0.0583464689552784,-1.0299681889591739e-06,0,0,False,False,1
4,71.0179443359375,1.8880038261413574,-0.935638427734375,1.8227040767669678,-0.050595562905073166,-8.583068620282575e-07,0,0,False,False,1
4,71.20357513427734,1.8877372741699219,-0.809661865234375,1.8758680820465088,0.030264919623732567,-1.8119811784345075e-06,0,0,False,False,1
4,71.39266967773438,1.8876457214355469,-0.7121276259422302,1.90237295627594,0.000165528676006943,-1.1062621751989354e-06,0,0,False,False,1
4,71.58354187011719,1.887848138809204,-0.609283447265625,1.9108011722564697,0.01544476393610239,-1.0871887070607045e-06,0,0,False,False,1
4,71.77489471435547,1.8871291875839233,-0.5628662109375,1.9189990758895874,-0.009565138258039951,5.912780807193485e-07,0,0,False,False,1
4,71.96891784667969,1.8871111869812012,-0.4847411811351776,1.966905117034912,0.012994753196835518,1.1444091541079615e-07,0,0,False,False,1
4,72.16924285888672,1.8872562646865845,-0.41339111328125,2.029510736465454,0.006178517360240221,2.0027160019253643e-07,0,0,False,False,1
4,72.37333679199219,1.8879265785217285,-0.3277282118797302,2.0387747287750244,0.017411861568689346,-3.7193296975601697e-07,0,0,False,False,1
4,72.57583618164062,1.8911081552505493,-0.1480712890625,2.01642107963562,0.05938423052430153,-2.0027160019253643e-07,0,0,False,False,1
4,72.77702331542969,1.887961745262146,-0.2845153510570526,2.0139212608337402,-0.09781566262245178,-2.47955313170678e-07,0,0,False,False,1
4,72.9796142578125,1.8842922449111938,-0.380706787109375,2.033371925354004,-0.023659879341721535,1.840591380641854e-06,0,0,False,False,1
4,73.18435668945312,1.8818436861038208,-0.4219360053539276,2.0632619857788086,-0.030132250860333443,-8.201598689083767e-07,0,0,False,False,1
4,73.3921890258789,1.8777439594268799,-0.52947998046875,2.0848464965820312,-0.058163002133369446,2.079010073430254e-06,0,0,False,False,1
4,73.60021209716797,1.873715877532959,-0.6107178330421448,2.070831298828125,-0.04357646033167839,-1.6212463549436507e-07,0,0,False,False,1
4,73.80633544921875,1.8689812421798706,-0.7140197157859802,2.05985164642334,-0.061593592166900635,-3.0517577442878974e-07,0,0,False,False,1
4,74.01202392578125,1.8641250133514404,-0.8038939833641052,2.048274278640747,-0.05462229251861572,-1.5830993334020604e-06,0,0,False,False,1
4,74.21625518798828,1.8599293231964111,-0.85357666015625,2.04606032371521,-0.04348963126540184,-8.964538551481382e-07,0,0,False,False,1
4,74.42138671875,1.8531533479690552,-1.0115967988967896,2.0504629611968994,-0.09720981121063232,-8.392333938900265e-07,0,0,False,False,1
4,74.62667846679688,1.849143385887146,-1.011810064315796,2.0586934089660645,-0.018032478168606758,-5.531310875994677e-07,0,0,False,False,1
4,74.83389282226562,1.8449516296386719,-1.0374754667282104,2.0853261947631836,-0.05386009439826012,-8.48770127959142e-07,0,0,False,False,1
4,75.04437255859375,1.8402570486068726,-1.0725096464157104,2.12065052986145,-0.04882839694619179,-1.411438006471144e-06,0,0,False,False,1
4,75.2579574584961,1.8345739841461182,-1.1431885957717896,2.145125150680542,-0.06856287270784378,-1.1444091541079615e-07,0,0,False,False,1
4,75.4737548828125,1.830583930015564,-1.122466802597046,2.170922040939331,-0.026766078546643257,-8.201598689083767e-07,0,0,False,False,1
4,75.6922607421875,1.8282886743545532,-1.0395201444625854,2.194763660430908,-0.011100989766418934,1.5068053471622989e-06,0,0,False,False,1
